原单词,词性,中文释义
shoot 1,n.,嫩枝; 苗; 芽
shoot 2,vt.,"射击,射中,发射"
shop,vi.,买东西
shop,n.,"商店,车间"
shopkeeper,n.,"店主,零售商人"
shopping,n.,买东西
shore,n.,"滨,岸"
short,a.,短的;矮的
shortcoming,n.,"缺点,短处"
shortly,ad.,不久
shorts,n.,短裤;运动短裤
shot,n.,"射击,开枪,开炮,射击声;子弹"
shoulder,n.,肩膀;(道路的)路肩
show,n.,"展示,展览(会);演出"
show,v.,"给…看,出示,显示"
shower,n.,阵雨; 淋浴
shrink,v.,"收缩,退缩,萎缩"
shuttle,n.,(往返与两个定点之间的)(火车、汽车、飞机)班车/机
shy,a.,害羞的
sick,a.,"有病的,患病的;(想)呕吐"
sickness,n.,疾病
side,n.,"边,旁边,面,侧面"
sideroad,n.,"岔路,旁路"
sideways,ad.,斜向一边的
sigh,vi.,叹息; 叹气
sight,n.,"情景,风景;视力"
sightseeing,n.,"游览,观光"
sign,n.,"符号,标记"
signal,n.,"信号,暗号"
signature,n.,签名
significance,n.,"意义,重要性"
silence,n.,"安静,沉默"
silent,a.,"无声的,无对话的"
silk,n.,"(蚕)丝,丝织品"
silly,a.,"傻的,愚蠢的"
silver,n.,银
similar,a.,"相似的,像"
simple,a.,"简单的,简易的"
simplify,v.,"简化,使单纯"
since,ad.,从那时以来
since,conj.,"从…以来,…以后,由于"
since,prep.,从…以来
sincerely,ad.,真诚地
sing,v.,"唱,唱歌"
single,a.,"单一的,单个的"
sink,n.,洗涤槽;污水槽
sink,vi.,下沉; 消沉
sir,n.,先生;阁下
sister,n.,姐;妹
sit,vi.,坐
situation,n.,"形势,情况"
six,num.,六
size,n.,"尺寸,大小"
skate,vi.,"溜冰,滑冰"
skateboard,n.,"冰鞋,滑板"
skill,n.,"技能,技巧"
skillful,a.,"熟练的,精湛的;灵巧的"
skin,n.,"皮,皮肤;兽皮"
skip,v.,蹦蹦跳跳;跳绳
skirt,n.,女裙
sky,n.,天;天空
skyscraper,n.,摩天楼
slave,n.,奴隶
slavery,n.,奴隶制度
sleep,n.,睡觉
sleep,vi.,睡觉
sleepy,a.,"想睡的,困倦的,瞌睡的"
sleeve,n.,"袖子,袖套"
slice,n.,"片,切面(薄)片"
slide,n.,"幻灯片,滑道"
slide,v.,"滑行,滑动"
slight,a.,"轻微的,细小的"
slightly,ad.,"些微地,苗条地"
slim,a.,"苗条的,纤细的"
slip,n.,"片,条,纸片,纸条"
slow,ad.,"慢慢地,缓慢地"
small,a.,"小的,少的"
smart,a.,"灵巧的,伶俐的;(人、服装等)时髦的,帅的"
smell,n.,气味
smog,n.,烟雾(= smoke + fog)
smoke,n.,烟
smoke,v.,冒烟;吸烟
smoker,n.,吸烟者
smooth,a.,光滑的; 平坦的
snack,n.,小吃
snake,n.,蛇
snake,v.,蛇般爬行;蜿蜒行进
sneaker,n.,(复)轻便运动鞋(美)
sneeze,v.,打喷嚏
sniff,n.,"以鼻吸气,吸入的东西,气味"
snow,n.,雪
snow,vi.,下雪
snowy,a.,雪(白)的;下雪的; 多(积)雪的
so,ad.,"如此,这么;非常"
so,conj.,"因此,所以"
soap,n.,肥皂
social,a.,社会的;社交的
socialism,n.,社会主义
socialist,a.,社会主义的
society,n.,社会
sock,n.,短袜
socket,n.,"插座,插口"
sofa,n.,(长)沙发
soft,a.,"软的,柔和的"
software,n.,软件
soil,n.,"土壤,土地"
solar,a.,太阳的，太阳能
soldier,n.,"士兵,战士"
solid,a.,"结实的,固体的"
solid,n.,固体
some,a.,"一些,若干;有些;某一"
some,pron.,"若干,一些"
somehow,ad.,"不知怎么地,设法"
somebody,pron.,某人;有人;有名气的人
someone,pron.,某一个人
something,pron.,某事;某物
sometimes,ad.,有时
somewhere,ad.,在某处
son,n.,儿子
song,n.,歌唱;歌曲
soon,ad.,"不久,很快,一会儿"
sorrow,n.,"悲伤,悲痛"
sorry,a.,"对不起,抱歉;难过的"
sort,vt.,"把…分类,拣选"
sort,n.,"种类,类别"
soul,n.,灵魂;心灵;气魄
sound,vi.,听起来;发出声音
sound,n.,声音
soup,n.,汤
sour,a.,"酸的,抑沉的,刻薄的"
south,a.,南(方)的;向南的;从南来的
south,ad.,在
southeast,n.,东南
southern,a.,"南部的,南方的"
southwest,n.,西南
souvenirs,n.,"(旅游)纪念品,纪念物"
space,n.,空间
spaceship,n.,宇宙飞船
spade,n.,铲子;纸牌中的黑桃
spanish,a.,"西班牙人的,西班牙的,西班牙语"
spare,a.,"空闲的,多余的,剩余的"
sparrow,n.,"麻雀,雀型鸟类"
speaker,n.,"演讲人,演说家"
spear,n.,"矛,枪,梭镖"
special,a.,"特别的,专门的"
specialist,n.,"(医学)专家,专科医生;专家;专业人员"
speech,n.,演讲
speed,n.,速度
speed,v.,(使)加速
spell,vt.,拼写
spelling,n.,"拼写,拼读"
spirit,n.,精神
spiritual,a.,精神的; 心灵的
spit,v.,吐唾沫;吐痰
splendid,a.,"灿烂的,辉煌的;(口语)极好的"
split,v.,撕开; 切开
spoken,a.,口语的
spokesman,n.,发言人
sponsor,n.,"保证人,赞助者"
spoon,n.,"匙, 调羹"
spoonful,n.,一匙(的量)
sport,n.,"体育运动,锻炼;(复,英)运动会"
spray,v.,"水雾,喷雾(器) 喷洒"
spread,v.,延伸; 展开
spring 1,n.,"春天,春季"
spring 2,n.,"泉水,泉"
spy,n.,"密探,间谍"
spy,v.,"侦探,刺探"
square,n.,广场
square,a.,"平方的;方形的,宽而结实的(体格,肩膀)"
squeeze,n.,"压榨,挤"
squeeze,v.,"紧握,挤"
squid,n.,鱿鱼
squirrel,n.,松鼠
stable,a.,"稳定的,安定的"
stadium,n.,(露天)体育场
staff,n.,"全体人员,同事"
stage,n.,舞台;阶段
stain,n.,"污染,污点,著色"
stainless,a.,"无瑕疵的,不锈的"
stair,n.,楼梯
stamp,n.,邮票
star,n.,"星,恒星"
stare,vi.,"盯,凝视"
start,v.,"开始,着手;出发"
starvation,n.,饥饿; 饿死
starve,v.,饿死
state,n.,"状态; 情形;国家,(美国的)州"
station,n.,"站,所,车站;电台"
statesman,n.,"政治家,国务活动家"
statistics,n.,"统计,统计数字,统计学"
statue,n.,"塑像,雕像"
status,n.,"地位,身份,情形,状况"
steady,a.,稳固的; 平稳的
steak,n.,"牛排,肉排,鱼排"
steal,vt.,"偷, 窃取"
steam,n.,"汽,水蒸气"
steel,n.,"钢,钢铁"
steep,a.,险峻的; 陡峭的
step,n.,"脚步,台阶,梯级"
step,vi.,走; 跨步
steward,n.,(火车、飞机、轮船等)男服务员;男乘务员
stewardess,n.,"女乘务员, 空中小姐"
stick,vi.,"粘住,钉住;坚持"
stick,n.,"木棒(棍),枝条"
still,a.,"不动的,平静的"
still,ad.,"仍然,还"
stocking,n.,长统袜
stomach,n.,"胃,胃部"
stone,n.,"石头,石料"
stop,n.,停;(停车)站
stop,v.,"停,停止,阻止"
storage,n.,贮藏; 储存
store,n.,商店
store,vt.,"储藏,存储"
storm,n.,"风暴,暴(风)雨"
story,n.,"故事,小说"
stout,n.,烈啤酒
stout,a.,"强壮的,稳重的"
stove,n.,"(供烹饪用的)火炉,煤炉,电炉"
straightforward,a.,"笔直的,率直的"
strait,n.,海峡
strange,a.,"奇怪的,奇特的,陌生的"
stranger,n.,"陌生人,外人"
straw,n.,"稻草,麦杆,吸管"
strawberry,n.,草莓
stream,n.,小河; 溪流
street,n.,"街,街道"
strength,n.,"力量,力气"
strengthen,vt.,"加强,增强"
stress,n.,"紧张,压力"
stress,v.,"强调,着重"
strict,a.,"严格的,严密的"
string,n.,"细绳,线,带"
struggle,vi.,斗争
stubborn,a.,"顽固的,倔强的"
student,n.,学生
study,v.,学习;研究
study,n.,书房
stupid,a.,"愚蠢的,笨的"
subject 2,n.,题目;主题;学科;主语;主体
subjunctive,a.,虚拟的
submit,vt.,"呈送,递交,主张"
submit,vt.,"使服从,屈服"
subscribe,v.,"捐献,赞成,订阅"
subtraction,n.,(算数中的)减
substitute,n.,"代替者,代用品"
substitute,v.,代替
succeed,vi.,成功
success,n.,成功
successful,a.,"成功的,有成就的"
suck,vt.,吸吮
sudden,a.,突然的
suddenly,ad.,突然地
sugar,n.,糖
suggest,vt.,"建议,提议"
suggestion,n.,建议
suit,vt.,适合
suit,n.,"一套(衣服),(男)西服"
suitable,a.,"合适的,适宜的"
suitcase,n.,"(旅行用)小提箱,衣箱"
suite,n.,套间;组曲
summary,n.,"摘要,概要"
summer,n.,"夏天,夏季"
sun,n.,"太阳,阳光"
sunburnt,a.,晒黑的
sunday,n.,星期日
sunlight,n.,"日光,阳光"
sunny,a.,晴朗的;阳光充足的
sunrise,n.,"黎明,拂晓"
sunset,n.,日落(时分)
sunshine,n.,阳光
super,a.,"超级的,极好的"
superb,a.,极好的
superior,n.,"长者,高手"
superior,a.,"出众的,高傲的"
supermarket,n.,超级市场
supper,n.,"晚餐,晚饭"
suppose,vt.,"猜想,假定,料想"
supreme,a.,最高的
suppress,v.,"镇压,使...止住,禁止"
surface,n.,表面
surgeon,n.,外科医生
surprise,vt.,"使惊奇,使诧异"
surprise,n.,"惊奇,诧异"
surround,vt.,围绕; 包围
surrounding,a.,周围的
survival,n.,生存
survive,v.,"生存,生还"
suspect,n.,犯罪嫌疑人
suspension,n.,"悬挂,未决,中止"
swallow,vt.,吞下; 咽下
swear,v.,"发誓,宣誓,咒骂"
sweat,n.,"汗,汗水"
sweater,n.,"厚运动衫,毛衣 "
sweep,v.,"扫除,扫"
swell,n.,"增大,巨浪"
swell,a.,"优秀的,上流的"
swift,a.,"快的,迅速的"
swim,n.,"游泳,游"
swim,vi.,"游泳,游"
swing,vt.,"挥舞,摆动"
swing,n.,秋千
switch,n.,"开关,转换"
switch,v.,"转变,切换,摆动"
swiss,a.,瑞士人的
swiss,n.,瑞士人
sword,n.,"剑,刀"
symbol,n.,"符号,标志,象征"
sympathy,n.,同情
symphony,n.,交响乐
symptom,n.,"症状,征兆"
system,n.,"体系;系统,制度,体制"
systematic,a.,"有系统的,分类的,体系的"
table,n.,"桌子,表格"
table tennis,phr.,乒乓球
tablet,n.,药片
tail,n.,(动物的)尾巴
tailor,n.,裁缝
take,vt.,拿;拿走;做;服用;乘坐;花费
tale,n.,"故事, 传说"
talent,n.,"才能,人才,天资"
tall,a.,高的
tank,n.,储水容量;坦克
tap,n.,(自来水、煤气等的)龙头
tape,n.,磁带;录音带
target,n.,"靶,目标"
task,n.,"任务, 工作"
taste,n.,"品尝, 尝味;味道"
taste,vt.,"品尝,尝味"
tasteless,a.,无滋味的
tasty,a.,味道好的
tax,n.,"税,税款"
taxi,n.,出租汽车
taxpayer,n.,纳税人
tea,n.,茶;茶叶 
teach,v.,"教书,教"
teacher,n.,"教师,教员"
team,n.,"队,组"
teamwork,n.,"合作,协同工作"
teapot,n.,茶壶
tear 1,n.,眼泪
tear 1,v.,流泪
tear 2,v.,"扯破, 撕开"
tease,v.,"欺负,嘲弄"
technical,a.,"技术的,工艺的"
technique,n.,"技术; 技巧,方法"
technology,n.,技术
telegram,n.,电报
telegraph,v.,(拍) 电报
telescope,n.,望远镜
tell,vt.,告诉;讲述;吩咐
temperature,n.,温度
temple,n.,"庙宇,寺院"
temptation,n.,引诱;诱惑
ten,num.,十
tend,v.,"有某种的倾向,易于,移向"
tendency,n.,"趋势,倾向"
tennis,n.,网球
tense,a.,"心烦意乱的,紧张的"
tension,n.,"紧张,张力,拉力"
tent,n.,帐篷
tentative,n.,"试验,假设"
term,n.,学期;术语;条款;项
terminal,a.,"终端机,(火车,汽车,飞机的)终点站"
terrible,a.,可怕的;糟糕的
terrify,vt.,使人感到恐怖
terror,n.,恐怖
text,n.,"文本,课文"
textbook,n.,"课本,教科书"
than,conj.,比
thank,vt.,"感谢,致谢,道谢"
thank,n.,"(复)感谢,谢意"
thankful,a.,"感谢的, 感激的"
the,art.,"这(那)个,这(那)些(用于特定人或物,序数词,最高级,专有名词,世上独一 无二事物前)"
theft,n.,盗窃案
their,pron.,他(或她、它)们的
them,pron.,他/她/它们(宾格)
theme,n.,主题
themselves,pron.,他/她/它们自己
then,ad.,"当时,那时;然后;那么(通常用于句首或句尾)"
theoretical,a.,理论的
theory,n.,理论
therefore,ad.,"因此,所以"
thermos,n.,热水瓶
they,pron.,他(她)们;它们;人们(主格)
thick,a.,厚的
thief,n.,"窃贼, 小偷"
thin,a.,薄的;瘦的;稀的
thing,n.,"东西;(复)物品,用品;事情,事件"
thinking,n.,思索; 见解; 想法
third,num.,第三
thirst,n.,渴; 口渴
thirsty,a.,渴
thirteen,num.,十三
thirty,num.,三十
though,conj.,"虽然,可是"
thought,n.,"思考,思想 ;念头"
thousand,num.,千
thread,n.,线
three,num.,三
thrill,v.,"震颤,抖颤,激动"
thriller,n.,惊险小说
throat,n.,喉咙
through,prep.,穿(通)过;从始至终
through,ad.,"穿(通)过;自始至终,全部"
throughout,prep.,"遍及,贯穿 "
thunderstorm,n.,雷电交加的暴风雨
thursday,n.,星期四
thus,ad.,这样; 因而
tibet,n.,西藏
tibetan,n.,西藏人;西藏语
tick,vt.,作记号
ticket,n.,票;卷
tiger,n.,老虎
tight,a.,紧的
time,n.,"时间;时期;钟点;次,回"
time,vt.,"测定…的时间,记录…的时间"
timetable,n.,(火车、公共汽车等)时间表;(学校)课表
tin,n.,"(英)罐头,听头"
tiny,a.,"极小的,微小的"
tire,vi.,使疲劳
tired,a.,"疲劳的,累的"
tiresome,a.,令人厌倦的
tissue,n.,"(动、植物的)组织,薄的纱织品"
title,n.,"标题,题目"
toast,v.,"敬酒,烤"
tobacco,n.,"烟草,烟叶"
together,ad.,"一起,共同"
toilet,n.,厕所
tokyo,n.,东京
tolerate,v.,"忍受,容忍,容许,宽恕"
tomato,n.,"西红柿,番茄"
tomb,n.,坟墓
too,ad.,"也,还;又;太,过分;很,非常"
tool,n.,"工具,器具"
tooth,n.,牙齿
toothache,n.,牙痛
toothbrush,n.,牙刷
toothpaste,n.,牙膏
top,n.,"顶部,(物体的)上面"
topic,n.,"题目,话题"
tortoise,n.,乌龟
total,a.,"总数的;总括的;完全的,全然的"
total,n.,"合计,总计"
total,v.,合计为
touch,vt.,"触摸,接触"
tough,a.,"坚硬的;结实的;棘手的,难解的"
tour,n.,"参观, 观光, 旅行"
tourism,n.,旅游业; 观光
tourist,n.,"旅行者,观光者"
tournament,n.,"比赛,锦标赛"
toward,prep.,"向,朝,对于"
towel,n.,毛巾
tower,n.,塔
town,n.,"城镇,城"
toy,n.,"玩具, 玩物"
track,n.,轨道; 田径
tractor,n.,拖拉机
trade,n.,贸易
trade,vt.,用…进行交换
tradition,n.,"传统,惯例"
traditional,a.,传统的
traffic,n.,"交通,来往车辆"
train,n.,火车
train,v.,"培训,训练"
training,n.,培训
tram,n.,有轨电车
transform,v.,"转换,使...变形"
translate,vt.,翻译
translation,n.,翻译; 译文
translator,n.,"翻译家,译者"
trap,n.,陷阱
trap,vt.,使陷入困境
traveler,n.,旅行者
treasure,n.,金银财宝; 财富
treat,vt.,"对待,看待"
treatment,n.,"治疗,疗法"
tree,n.,树
tremble,v.,颤抖
trend,n.,"趋势,倾向,方位"
trend,v.,倾向
trial,n.,审判; 试验; 试用
trick,n.,"诡计,把戏"
trip,n.,"旅行,旅程"
trolley bus,phr.,无轨电车
trouble,vt.,"使苦恼,使忧虑,使麻烦"
trouble,n.,"问题,疾病,烦恼,麻烦"
troublesome,a.,令人烦恼的; 讨厌的
trousers,n.,"裤子,长裤"
true,a.,"真的,真实的;忠诚的"
truly,ad.,"真正地,真实地"
trunk,n.,树干;大箱子
trust,vt.,"相信,信任,信赖"
truth,n.,"真理,事实,真相,实际情况"
try,v.,"试,试图,努力"
t-shirt,n.,T恤衫
tuesday,n.,星期二
tube,n.,"地铁,电子管,显像管,管,软管"
tune,n.,"歌曲,旋律,心情"
turkey,n.,火鸡
turn,v.,"旋转,翻转,转变,转弯"
turn,n.,"轮流,(轮流"
turning,n.,"拐弯处,拐角处"
tutor,n.,"家庭教师,导师"
twelfth,num.,第十二
twelve,num.,十二
twentieth,num.,第二十
twenty,num.,二十
twice,ad.,两次;两倍
twin,n.,双胞胎之一
twist,v.,"拧,扭曲"
two,num.,二
type,vt.,打字
typewriter,n.,打字机
typhoon,n.,台风
typist,n.,打字员
ugly,a.,丑陋的; 难看的
umbrella,n.,雨伞
unable,a.,"不能的,不能胜任的"
unbearable,a.,无法忍受的
unbelievable,a.,难以置信的
uncertain,a.,不确定的
uncle,n.,叔;伯;舅;姑夫;姨父
uncomfortable,a.,"不舒服的,不自在的"
unconditional,a.,"无条件的,绝对的"
unconscious,a.,失去知觉的
underground,a.,地下的
underground,n.,地铁
underline,v.,在...下面划线
understanding,n.,领会; 理解
undertake,v.,"从事,保证"
underwear,n.,内衣
undivided,a.,没分开的; 专一的; 专心的
undo,v.,"解开,松开"
unemployment,n.,"失业,失业状态"
unfair,a.,"不公平的,不公正的"
unfit,a.,"不合宜的,不相宜的"
unfold,vt.,"展开,打开"
unfortunate,a.,不幸的
uniform,n.,制服
union,n.,"联合,联盟;工会"
unit,n.,"单元,单位"
unite,v.,"联合,团结"
united,a.,联合的
universal,a.,"普遍的,通用的,宇宙的"
universe,n.,宇宙
university,n.,大学
unknown,a.,不知道的
unless,conj.,"如果不,除非"
unlike,a.,"不同的,不相似的"
unrest,n.,不安; 骚动
unusual,a.,"不平常的,异常的"
unwilling,a.,不愿意的
up,ad.,向上;起来;在…以上
up,a.,"上面的,向上的,上行的"
up,n.,上升;上坡;上行;繁荣
up,v.,举起;拿起;提高
up,prep.,向(高处);向(在)…上(面)游
update,v.,"更新,补充最新资料"
upon,prep.,在…上面
upper,a.,"较高的,较上的"
upset,a.,"心烦的,苦恼的"
upstairs,ad.,"在楼上,到楼上"
upward,ad.,向上; 往上
urban,a.,城市的
urge,n.,冲动
urge,v.,"驱策,力劝,力陈"
urgent,a.,"急迫的,紧要的,紧急的"
america,n.,美国(美利坚合众国)
used,a.,用过的;旧的;二手的
useful,a.,"有用的,有益的"
useless,a.,无用的
user,n.,使用者; 用户
usual,a.,"通常的,平常的"
usually,ad.,"通常,经常"
vacant,a.,空的
vacation,n.,"假期,休假"
vague,a.,"模糊的,不明确的,说话含糊不清的"
valid,a.,"有确实根据的,有效的,正当的"
valley,n.,"山谷, 溪谷"
valuable,a.,"值钱的,贵重的"
value,n.,"价值,益处"
variety,n.,"种种,种类"
various,a.,"各种各样的,不同的"
vase,n.,(花)瓶;瓶饰
vast,a.,"巨大的,广阔的"
vcd,n.,影碟光盘
veal,n.,(食用)小牛肉
vegetable,n.,蔬菜
vehicle,n.,"传播媒介,工具,交通工具,车辆"
verb,n.,动词
version,n.,"版本,翻译"
vertical,a.,垂直的
vertical,n.,垂直线
very,ad.,"很,非常"
vest,n.,"背心,内衣"
via,prep.,经由
vice,n.,"恶习, 恶行, 罪恶, 缺陷, 恶癖"
victim,n.,受害者
victory,n.,胜利
video,n.,"录像,视频"
videophone,n.,可视电话
view,n.,"看法,见解;风景,景色"
village,n.,"村庄,乡村"
villager,n.,村民
vinegar,n.,醋
violate,v.,"违犯,亵渎,干扰"
violence,n.,暴力行为
violent,a.,暴力的
virtue,n.,"美德,正直的品行,德行"
visa,n.,"签证,背签"
visitor,n.,"访问者,参观者"
visual,a.,视觉的
vital,a.,"至关重要的,有活力的,充满生机的"
vivid,a.,"生动的,栩栩如生的,鲜艳的"
vocabulary,n.,"词汇, 词汇表"
voice,n.,说话声; 语态
volcano,n.,火山
volleyball,n.,排球
voluntary,a.,自愿的
vote,vi.,"选举,投票"
voyage,n.,"航行,旅行"
wag,v.,摇摆
wage,n.,"薪水,报偿,代价"
waist,n.,"腰部,背心"
waiter,n.,"侍者,服务员"
wall,n.,墙
wallet,n.,"皮夹,钱包"
walnut,n.,胡桃
wander,v.,游荡
want,vt.,"要,需要, 想要"
war,n.,战争
ware,n.,"制品,器具,货物"
warehouse,n.,仓库
warmth,n.,"暖和,温暖,热烈,热情,热心"
warn,vt.,"警告,告诫"
washroom,n.,"盥洗室,厕所"
watch,n.,手表
watch,vt.,"观看,注视"
watch,n.,"看守,守卫"
water,n.,水
water,vt.,&
water,vi.,"浇水,浇灌"
watermelon,n.,西瓜
wax,n.,"蜡,蜡状物,震怒"
way,n.,"路,道路; 手段,方法"
we,pron.,我们(主格)
weak,a.,"弱的, 差的"
weakness,n.,"衰落,衰老"
wealth,n.,"财富,财产"
wealthy,a.,富有的，富裕的
wear,vt.,"穿,戴"
weather,n.,天气
web,n.,网
website,n.,"网站,网址"
wedding,n.,"婚礼,结婚"
wednesday,n.,星期三
weed,n.,野草
weed,vt.,除草
week,n.,"周,星期"
weekday,n.,工作日
weekend,n.,周末
weekly,n.,"周刊,周报"
weep,n.,"悲叹,哀悼,为...伤心"
weigh,vi.,重(若干)
weigh,vt.,称…的重量
weight,n.,"重, 重量"
welfare,n.,"福利,社会保障"
well,n.,井
westward,n.,"西方,西部"
whale,n.,鲸
wheat,n.,小麦
wheel,n.,"轮, 车轮, 轮状物"
when,ad.,"什么时候,何时"
when,conj.,当…时候
where,ad.,在哪里
where,conj.,在…地方
wherever,ad.,无论什么地方
whether,conj.,是否
whichever,a.,"无论哪个,无论哪些"
while,n.,一段时间
while,conj.,"当…时候,然而"
whisper,vi.,"私语, 耳语, 低语"
whisper,vt.,"低声地讲,私下里讲"
whisper,n.,"私语, 耳语, 低语"
white,a.,白色的
white,n.,白色
who,pron.,谁
whole,a.,整个的.
whom,pron.,谁(宾格)
why,int.,怎么啦(表惊讶)
why,ad.,为什么
widespread,a.,"分布(或散布)广的,普遍的"
widow,n.,寡妇
wife,n.,妻子
wildlife,n.,野生动物
willing,a.,"乐意的, 愿意的"
windy,a.,"有风的, 多风的"
wine,n.,酒
winner,n.,胜利者
winter,n.,"冬天,冬季"
wipe,vt.,擦
wire,n.,"电线,(金属)线"
wisdom,n.,智慧
wise,a.,"聪明的, 英明的, 有见识的"
with,prep.,"和…在一起, 用…, 以…"
withdraw,v.,"撤回,取回,撤退"
within,prep.,在…范围以内
within,ad.,在里面
without,prep.,"无,没有,不"
witness,n.,"目击者,证人"
wolf,n.,狼
woman,n.,"妇人, 女人"
wonderful,a.,"极好的, 精彩的"
wood,n.,"木头,(常用复数)树林,森林"
wooden,a.,"木制的, 木头的"
wool,n.,"毛线, 羊毛"
woolen,n.,毛制品
word,n.,"词, 单词, 话"
work,n.,工作
work,vi.,"工作,运转,转动"
worker,n.,工人
world,n.,世界
worldwide,a.,全世界的
worm,n.,"虫,蠕虫"
worn,a.,"磨损的,疲倦的"
worried,a.,"担心的,烦恼的"
worry,vt.,使担忧
worry,n.,"焦虑, 担心"
worth,a.,"值得…的, 有…价值的"
worthwhile,a.,值得(做)的
worthy,a.,"有价值的,值得的"
worthy,n.,知名人士
wound,vt.,使受伤
wound,n.,伤口
wrestle,n.,"摔角,角力,扭斗"
wrinkle,n.,皱纹
wrinkle,v.,(使)起皱纹
wrist,n.,"腕,腕关节"
wrong,a.,"错误的,坏的,邪恶的"
x-ray,n.,X射线; X光
yard,n.,码; 院子;场地
yawn,n.,呵欠
yawn,v.,打呵欠
year,n.,年
yell,v.,大叫
yellow,a.,黄色的
yes,ad.,"是,好,同意"
yet,ad.,"尚,还,仍然"
yoghurt,n.,酸乳酪
you,pron.,你;你们(主格)
young,a.,年轻的
your,pron.,你的;你们的
yours,pron.,你的;你们的(名词性物主代词)
yourself,pron.,你自己
yourselves,pron.,你们自己
youth,n.,青春; 青年
yummy,a.,"舒适的,愉快的,美味的"
zebra,n.,斑马
zipper,n.,拉链
zone,n.,区域; 范围
zoo,n.,动物园
